statistic,alpha_s,Q0,ln(C1),ln(C2),Tau0,ln(C3)
count,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.39711852391111013,2.199289168171277,-1.5065758533582347,-1.414835740481492,0.43383536172168874,1.9520809877427079
std,0.0507700741267816,1.0559801130828832,2.2138928762302985,2.2010928498785294,0.2685452333132924,2.0972103714091164
min,0.26573762919992117,1.0001471844159737,-5.298165100470012,-5.297602742771668,0.000024133522945946062,-2.99562058843022
0.1%,0.2812150907559075,1.0030053264155663,-5.292989476893122,-5.287687820995246,0.0005519198394529079,-2.979522535747752
1%,0.2967785999736171,1.0341292610101176,-5.229423323397652,-5.207600571437542,0.008677983521165385,-2.8635815745868074
5%,0.31497681256054444,1.1344402431791192,-4.940920634537758,-4.883809930627772,0.04711549568608425,-2.285659700550693
10%,0.32984502786589487,1.2249201448263607,-4.594977046002322,-4.505955687504562,0.09185257747421467,-1.497749019346032
25%,0.35823850923466893,1.466358889226294,-3.4447141907154926,-3.3161216900247386,0.2151974536257877,0.5623642667616691
33.3%,0.3711854900240576,1.5907236313343756,-2.790414146627511,-2.6571938342864696,0.278626027713468,1.3936756042872913
50%,0.39560121383102764,1.8773024560423235,-1.4739024764316229,-1.3925661520811607,0.41378065477122883,2.524163959971613
66.6%,0.42134785926664137,2.2937849079710446,-0.22682512489193674,-0.11169320225195423,0.5449407735756586,3.3324213371178146
75%,0.43579274546093627,2.602901978948438,0.407310734693749,0.5346717483855592,0.6239272901511007,3.689851309094409
90%,0.46817886927617286,3.6529468610446,1.539426523319082,1.5965399772003277,0.8001832684322234,4.248362254521836
95%,0.4824791281367821,4.395499240704737,1.9333968615839807,1.9527071166476082,0.9007178168566782,4.4288478368420385
99%,0.49629058406265425,5.753868718686255,2.2336133720379436,2.2244318193517207,1.1010742673909175,4.568838676600027
99.9%,0.49947782569656324,8.268602897294892,2.295055998365886,2.29489735673838,1.3494733949340691,4.601732055288368
max,0.4999857660772563,9.97121264810043,2.3022775508513567,2.30255590012651,1.4956191433030854,4.605166319646474
